id,conversation_id,created_at,date,time,user_id,username,language,hashtags,cashtags,retweet,geo
1.50896E+18,1.50896E+18,2022-03-29 20:13:13 Eastern Daylight Time,3/29/2022,20:13:13,3222811219,_ybnetwork,en,['playthegame'],[],FALSE,"38.6270,-90.1994,50km"
1.50954E+18,1.50939E+18,2022-03-31 10:20:49 Eastern Daylight Time,3/31/2022,10:20:49,2210041356,05lopex,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50957E+18,1.50952E+18,2022-03-31 12:24:58 Eastern Daylight Time,3/31/2022,12:24:58,3771290593,12300oreno,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50899E+18,1.50899E+18,2022-03-29 21:51:19 Eastern Daylight Time,3/29/2022,21:51:19,1.43964E+18,29twols,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50821E+18,1.50821E+18,2022-03-27 18:28:42 Eastern Daylight Time,3/27/2022,18:28:42,8.01608E+17,305sportsbabe,en,['miamimarlins'],[],FALSE,"25.7617,-80.1918,50km"
1.50832E+18,1.50832E+18,2022-03-28 02:04:20 Eastern Daylight Time,3/28/2022,2:04:20,54784250,3volador4,en,"['littledick', 'sorrycharlie', 'jimmychill']","['amc', 'gme', 'shib']",FALSE,"41.8781,-87.6298,50km"
1.50853E+18,1.50853E+18,2022-03-28 15:32:49 Eastern Daylight Time,3/28/2022,15:32:49,54784250,3volador4,en,[],"['amc', 'gme', 'shib']",FALSE,"41.8781,-87.6298,50km"
1.50967E+18,1.50967E+18,2022-03-31 19:27:23 Eastern Daylight Time,3/31/2022,19:27:23,3838485253,4ndroid55,en,"['morbius', 'amcsqueeze']",[],FALSE,"34.0522,-118.2437,50km"
1.5093E+18,1.5093E+18,2022-03-30 18:56:22 Eastern Daylight Time,3/30/2022,18:56:22,1640746356,5inconetwork,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50846E+18,1.50846E+18,2022-03-28 11:19:15 Eastern Daylight Time,3/28/2022,11:19:15,1.10603E+18,6pacandotto,en,"['amcsqueeze', 'apesnotleaving']",['amc'],FALSE,"41.8781,-87.6298,50km"
1.50846E+18,1.50846E+18,2022-03-28 11:21:26 Eastern Daylight Time,3/28/2022,11:21:26,1.10603E+18,6pacandotto,en,"['haha', 'chokeonthat', 'amc']",[],FALSE,"41.8781,-87.6298,50km"
1.50926E+18,1.50926E+18,2022-03-30 16:05:30 Eastern Daylight Time,3/30/2022,16:05:30,836815440,777pelonmichael,en,['amc'],[],FALSE,"34.0522,-118.2437,50km"
1.50776E+18,1.50776E+18,2022-03-26 12:46:27 Eastern Daylight Time,3/26/2022,12:46:27,1.45135E+18,99thsox,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.49878E+18,1.49878E+18,2022-03-01 17:10:32 Eastern Standard Time,3/1/2022,17:10:32,366949023,addison_jacoby,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.5096E+18,1.5096E+18,2022-03-31 14:42:20 Eastern Daylight Time,3/31/2022,14:42:20,169662640,adrew86,en,[],[],FALSE,"25.7617,-80.1918,50km"
1.50965E+18,1.50965E+18,2022-03-31 18:10:17 Eastern Daylight Time,3/31/2022,18:10:17,169662640,adrew86,en,[],[],FALSE,"25.7617,-80.1918,50km"
1.50885E+18,1.50885E+18,2022-03-29 13:13:04 Eastern Daylight Time,3/29/2022,13:13:04,2794916483,adurnbaugh,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.50927E+18,1.50927E+18,2022-03-30 16:57:10 Eastern Daylight Time,3/30/2022,16:57:10,142843687,agnews_otto,en,[],[],FALSE,"41.8781,-87.6298,50km"
1.49881E+18,1.49881E+18,2022-03-01 19:13:21 Eastern Standard Time,3/1/2022,19:13:21,2827142965,aightforsure,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50643E+18,1.50643E+18,2022-03-22 20:50:51 Eastern Daylight Time,3/22/2022,20:50:51,51491414,alaboutsports,en,[],[],FALSE,"25.7617,-80.1918,50km"
1.5096E+18,1.50898E+18,2022-03-31 14:50:17 Eastern Daylight Time,3/31/2022,14:50:17,3528005232,alanhkitaa,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50864E+18,1.50864E+18,2022-03-28 22:56:55 Eastern Daylight Time,3/28/2022,22:56:55,1.19986E+18,alberto_sauce,en,[],[],FALSE,"34.0522,-118.2437,50km"
1.50953E+18,1.50953E+18,2022-03-31 09:57:09 Eastern Daylight Time,3/31/2022,9:57:09,2302415598,alexmaminakis,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.50958E+18,1.44107E+18,2022-03-31 13:32:13 Eastern Daylight Time,3/31/2022,13:32:13,1.32524E+18,alkeyofny,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.50933E+18,1.50933E+18,2022-03-30 20:36:11 Eastern Daylight Time,3/30/2022,20:36:11,21237274,allanjlewis,en,[],[],FALSE,"38.6270,-90.1994,50km"
1.50955E+18,1.50955E+18,2022-03-31 11:09:31 Eastern Daylight Time,3/31/2022,11:09:31,1.23216E+18,allidoismix,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.5092E+18,1.50895E+18,2022-03-30 12:06:03 Eastern Daylight Time,3/30/2022,12:06:03,1.39832E+18,alloy2003,en,[],[],FALSE,"25.7617,-80.1918,50km"
1.50267E+18,1.50267E+18,2022-03-12 10:31:14 Eastern Standard Time,3/12/2022,10:31:14,34475441,allsenseaside,en,[],[],FALSE,"40.7128,-74.0060,50km"
1.5032E+18,1.5032E+18,2022-03-13 22:45:27 Eastern Daylight Time,3/13/2022,22:45:27,34475441,allsenseaside,en,[],[],FALSE,"40.7128,-74.0060,50km"
